var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
1.8235821660669575e+19,3.718086465325322e+19,3.3767424913601885e+24,2.4851479275319927e+19,1.7137906497126808e+19,3.250719636507508e+24,1.0823065205657315e+19,9.45225966257211e+18,4.6125134980802656e+24,0.1037037037037037,0.3048757870704693,62.0,0.9160259209000614,1,7323106878.14963,13969912189.01818,1.2924322641878423,0.9569679508696249,standing,ilive-standing-pos1-rx-1min.dat
2.909925434268707e+19,4.970033157518883e+19,7.08850639252321e+24,2.730769552645371e+19,1.9387794124907205e+19,8.077507432854886e+24,2.627234301830915e+19,1.9052955756640563e+19,1.4401706236878445e+25,0.044444444444444446,0.20608041101101562,-7.0,0.9672159003642684,1,6578764331.387267,9906237099.32402,1.4412410592159919,1.4822087848175212,standing,ilive-standing-pos1-rx-1min.dat
3.2304044782488318e+19,3.582547161759301e+19,0.0,2.4981633428989997e+19,1.4801852558372565e+19,0.0,4.3357302393312143e+18,4.0097836443688494e+18,0.0,0.1111111111111111,0.3142696805273545,49.0,0.0,1,6809845249.060398,14140309139.008104,1.280571550356646,0.9963548818907491,standing,ilive-standing-pos1-rx-1min.dat
2.7559968154118287e+19,5.530121855484044e+19,7.483211269168418e+24,2.8920242027359998e+19,2.0474606568654823e+19,6.760403173838461e+24,2.728011699328546e+19,2.0125494472577765e+19,1.2614916881925922e+25,0.07407407407407407,0.2618914004394621,55.0,0.8917735387707421,1,6933211256.428337,11993566959.892155,1.381098227212112,1.266524504569957,standing,ilive-standing-pos1-rx-1min.dat
2.915815127330712e+19,3.027132464278555e+19,5.310952658407123e+23,3.292285331198059e+19,1.96456816940757e+19,2.7902904060984533e+23,1.2039899542734504e+19,1.044244139750077e+19,2.2295750431809781e+24,0.10740740740740741,0.3096305156818795,59.0,0.9097143721535601,1,6525907609.161978,13875724351.365225,1.330131792386648,1.1537462282209585,standing,ilive-standing-pos1-rx-1min.dat
1.6144359727742507e+19,2.2154275637167587e+19,1.0679598577843576e+24,2.6251052807616508e+19,1.7105387519637412e+19,5.0386844095708634e+23,5.708359554233057e+18,4.990604535371786e+18,2.477965011693962e+24,0.10740740740740741,0.3096305156818795,47.0,0.940916786682244,1,6282836887.92708,12442525767.410278,1.2455392369437108,0.7966876852818152,standing,ilive-standing-pos1-rx-1min.dat
2.6729488955785347e+19,4.043264151881229e+19,2.2220200988033042e+24,2.9179259702906413e+19,1.7984130809178671e+19,9.254668035499189e+23,1.4339675418526745e+19,1.1219851622988782e+19,8.429358267851054e+23,0.10740740740740741,0.3096305156818795,90.0,0.9637942470339267,1,6783381717.449627,13268759168.429646,1.2895178887095928,0.9946772642058748,standing,ilive-standing-pos1-rx-1min.dat
2.807142437206266e+19,3.637668945688278e+19,1.7200916913864396e+24,2.1857695061869453e+19,1.4785394223388262e+19,1.6071783972409738e+24,1.2085329334870825e+19,7.3919360355713e+18,1.8437827012562388e+24,0.1037037037037037,0.3048757870704693,-12.0,0.9442772141932639,1,6473343025.336005,13732191143.249226,1.3064343553802802,1.0569062850888846,standing,ilive-standing-pos1-rx-1min.dat
2.4619503388529455e+19,3.616721195581778e+19,1.75303176038786e+24,2.9226932321825706e+19,1.7836408347024691e+19,7.130830500891709e+23,7.768493904713415e+18,5.488847412742965e+18,1.4962094185011344e+24,0.1037037037037037,0.3048757870704693,76.0,0.9713717587430538,1,7254495827.315885,14273205379.011791,1.2990693212876052,1.0626302323938184,standing,ilive-standing-pos1-rx-1min.dat
3.5853585118148727e+19,5.341286656516208e+19,1.5074976770595897e+24,3.1075351072320844e+19,1.8842593211018023e+19,6.529471097975364e+23,7.992167569304608e+18,6.158874054647658e+18,1.41282454154993e+24,0.10740740740740741,0.3096305156818795,42.0,0.9503166555818413,1,5368571314.936605,11825632323.38785,1.3311824080611852,1.104103470750088,standing,ilive-standing-pos1-rx-1min.dat
2.776661547666149e+19,3.197216745281884e+19,0.0,2.3470046875134104e+19,1.5351796981742014e+19,0.0,7.288356258605531e+18,6.244715949661455e+18,0.0,0.1111111111111111,0.3142696805273545,42.0,0.0,1,6608516996.11858,12824885879.225077,1.2947978836220175,0.9697336096673013,standing,ilive-standing-pos1-rx-1min.dat
2.2234413453290525e+19,3.691029123231716e+19,1.7325922575784303e+24,3.2132479540221112e+19,1.9832885048448975e+19,5.9580233135075015e+23,9.626388970780488e+18,6.834612342959802e+18,9.94348819709601e+23,0.10740740740740741,0.3096305156818795,78.0,0.9147575020990125,1,6092146749.333232,13265616339.367891,1.3340656200478855,1.2398750553685192,standing,ilive-standing-pos1-rx-1min.dat
2.400975829409733e+19,4.388682876850457e+19,1.953889256815573e+24,2.6337147511860535e+19,1.904790662997422e+19,1.5162994370552708e+24,6.223935927700774e+18,4.720455382955425e+18,1.5088678241015712e+24,0.10740740740740741,0.3096305156818795,90.0,0.932377657998926,1,6181116229.135674,13886656849.522625,1.3284558094581544,1.165990081353688,standing,ilive-standing-pos1-rx-1min.dat
2.2969820852843074e+19,3.2735530551511863e+19,1.361963245121863e+24,2.383690577990546e+19,1.5178749955299725e+19,1.0838373013742864e+24,1.355822928265162e+19,9.43034028510745e+18,1.336476002722096e+24,0.10740740740740741,0.3096305156818795,5.0,0.9489866268748415,1,6821289988.721549,13459253736.181162,1.2572131143414684,0.8772008955644668,standing,ilive-standing-pos1-rx-1min.dat
2.2349770256899695e+19,3.8878144375244055e+19,1.7873128017508235e+24,2.186424556312964e+19,1.4433852565512288e+19,1.0096906042163714e+24,7.959764990938119e+18,6.948617416802772e+18,1.8832568800199568e+24,0.10740740740740741,0.3096305156818795,53.0,0.9767266469140456,2,5923409211.065186,12983241377.027245,1.2816863846221074,1.108339899736877,standing,ilive-standing-pos1-rx-1min.dat
