var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
1.67786256044013e+19,5.968311144975898e+19,3.588643157841126e+24,2.194761293555213e+19,1.6518905618029533e+19,6.495085391098141e+24,2.3867674842787836e+19,2.5776827009681613e+19,1.2269129190395068e+25,0.4074074074074074,4.7160817011367575,33.0,0.9292200483156188,1,7034005386.353198,8919341050.808575,1.712636855489781,2.251117022833287,standing,ilive-standing-posX-los2-1min.dat
1.2437827696099588e+19,4.706711917497815e+19,9.380886178326726e+23,1.4943797710199994e+19,1.068474839453162e+19,2.2631982440937675e+24,1.379249729054768e+19,9.295048608638358e+18,2.386783424086562e+24,0.0,0.0,-12.0,0.9623037688827001,1,6790574568.819373,6413994516.689759,1.7764979096963684,2.3868913708688515,standing,ilive-standing-posX-los2-1min.dat
2.1016734662152065e+19,3.2197239208346145e+19,8.670593824919602e+23,2.6469480638835175e+19,1.89916112914019e+19,8.746416788477564e+23,1.4105225378751316e+19,1.4819818908787905e+19,3.5101967093411164e+24,0.0,0.0,16.0,0.8646860993006419,1,7722899368.434027,10931350744.411255,1.6364979434871538,2.0076446348266126,standing,ilive-standing-posX-los2-1min.dat
1.9749400157075763e+19,2.3477097876137832e+19,3.910798794325732e+23,2.0958632093422084e+19,1.5132396618526345e+19,5.645697330488465e+23,2.285713283721754e+19,2.462487400600338e+19,1.5423020639709303e+24,0.0,0.0,72.0,0.9598946760992519,1,7996942115.215383,10610469518.58041,1.6783662496024516,2.1890918437371916,standing,ilive-standing-posX-los2-1min.dat
2.009709378763843e+19,5.502537092056101e+19,3.24790298988295e+24,2.927396106404775e+19,2.1367459390319157e+19,4.800669602633042e+24,2.334213873757035e+19,2.5826773009480233e+19,1.3293840021217445e+25,0.0,0.0,-9.0,0.8513907368666787,1,7027156479.33328,9546526612.809025,1.7118667250454394,2.2525352785349346,standing,ilive-standing-posX-los2-1min.dat
1.826408679285761e+19,1.8582739273325072e+19,0.0,2.965714373144252e+19,2.1696756689478193e+19,0.0,1.7475452966439295e+19,1.870009908491423e+19,0.0,0.2037037037037037,3.340989150656001,49.0,0.0,1,8329705713.55088,11438101567.49899,1.6179444780318766,2.0333897648568744,standing,ilive-standing-posX-los2-1min.dat
4.729675913394374e+18,3.513018344764278e+19,8.195658711922451e+23,1.3347331298998737e+19,9.30218130204381e+18,2.0389901382412348e+24,1.0308536535681094e+19,1.112164897872601e+19,3.117439067963372e+24,0.0,0.0,43.0,0.9685938986636714,1,5810478138.518188,5642962511.943178,1.8269500298022379,2.589543105176608,standing,ilive-standing-posX-los2-1min.dat
9.284911414874735e+18,4.79885932161319e+19,8.638645610609598e+23,1.3511585018610684e+19,9.32104340072985e+18,1.826446166677988e+24,5.222602794738248e+18,7.237209125400936e+18,1.2763214444846274e+24,0.0,0.0,48.0,0.961467238423916,1,5880575328.867797,5484966452.792002,1.8149083386679543,2.5722670775039065,standing,ilive-standing-posX-los2-1min.dat
7.348927125814196e+18,5.3201518429764e+19,7.728738116158958e+23,1.4269994437989255e+19,9.882606427846621e+18,1.8877354821511487e+24,5.139282026465714e+18,6.693325420885425e+18,1.24473597607476e+24,0.0,0.0,46.0,0.966064372744822,1,5794242501.930367,5455398452.649107,1.8122246234138328,2.5389312951340672,standing,ilive-standing-posX-los2-1min.dat
1.933177570005463e+19,5.277709428342831e+19,3.13153286053603e+24,2.286051522934041e+19,1.594834073044374e+19,6.014171433300874e+24,1.875390642063407e+19,2.0192713000252838e+19,9.91452970318658e+24,0.0,0.0,-4.0,0.8952707093240012,1,7786418856.906713,8064791928.363956,1.7797488481274766,2.394512331243737,standing,ilive-standing-posX-los2-1min.dat
1.6116226522137692e+19,4.876685819737323e+19,2.7230876228565303e+24,2.2352459319707226e+19,1.609734687207042e+19,7.378032507904705e+24,2.3928104412252828e+19,2.0987734993989382e+19,1.2142363493778483e+25,0.0,0.0,33.0,0.9599204874028974,1,6128157723.236219,8163606124.953711,1.7333106196979076,2.245435882838412,standing,ilive-standing-posX-los2-1min.dat
2.0667598588160016e+19,6.291550723350088e+19,2.80281501101781e+24,2.2998812878487028e+19,1.6476564865847773e+19,4.542145228074212e+24,1.3952292967073917e+19,1.3835044909868548e+19,7.520209840412817e+24,0.0,0.0,53.0,0.9011903910733455,1,7618223626.1668,7728067033.446805,1.7900632004779338,2.448004983621632,standing,ilive-standing-posX-los2-1min.dat
1.9921726467540378e+19,2.129116718393628e+19,2.1429102403478365e+23,2.883043596061999e+19,2.1267192606402195e+19,1.992755286742758e+23,1.08407302518427e+19,1.2240238671376361e+19,2.3372445429367225e+24,0.0,0.0,-1.0,0.9604423060960431,1,7120351033.662344,10154271087.0532,1.6454515015942348,2.0514766161560862,standing,ilive-standing-posX-los2-1min.dat
1.724759237459653e+19,6.1922313254224806e+19,3.196549599996684e+24,2.0865889066968056e+19,1.5376570157732921e+19,4.287086226991912e+24,2.141259197609846e+19,2.420292528005144e+19,1.356980391013934e+25,0.0,0.0,78.0,0.9471552852881348,1,6417348490.575525,8630439333.868343,1.726954737945844,2.283272425246314,standing,ilive-standing-posX-los2-1min.dat
2.4326852906216727e+19,2.9609712923389657e+19,5.1303735192676824e+23,2.6550237750645633e+19,1.9030960585949737e+19,2.439185999617443e+23,1.854036572285783e+19,1.9176989445863707e+19,2.4226598230909546e+24,0.2037037037037037,3.340989150656,0.0,0.8549923152913741,1,7816732869.769368,10717081484.0598,1.6052454628199848,1.9419657609567595,standing,ilive-standing-posX-los2-1min.dat
2.2011389792264323e+19,2.5643629092037353e+19,4.9322404501145064e+23,2.2721982186028904e+19,1.6272493842367212e+19,2.5036188405074904e+23,2.1795835932474044e+19,2.3166430754260095e+19,2.356294358008169e+24,0.0,0.0,-6.0,0.8057000103401902,1,8969170460.85625,11581549298.19917,1.6703046362411273,2.0609951828416566,standing,ilive-standing-posX-los2-1min.dat
4.2790599705388703e+18,3.34335876907508e+19,5.1603807694151055e+23,2.5071202727843332e+19,1.7522427242801134e+19,3.445906137670962e+24,6.916717136310583e+18,8.476636872384804e+18,1.642030401960391e+24,0.0,0.0,-10.0,0.9514431997201008,1,5386215696.343565,5197410438.0829315,1.8421168589570474,2.68157876258178,standing,ilive-standing-posX-los2-1min.dat
1.7179273326950066e+19,6.291901127012699e+19,1.3505039578983002e+24,2.3948880274372493e+19,1.6994081348131047e+19,3.528130321365663e+24,9.726559129668588e+18,1.0248050143739707e+19,1.809414274506725e+24,0.0,0.0,52.0,0.8365918901943469,1,6662318181.63872,6311073173.292654,1.796501676461669,2.4837455700269944,standing,ilive-standing-posX-los2-1min.dat
