tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
0.0,0.0,57.0,0.9341878513205818,3,156041368.66587862,4500325240.932848,-0.048518840401361285,-1.5502919038086955,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,58.0,0.9259382012747723,4,178270721.57954475,10261289253.646542,0.02707470707374316,-0.6427976803714377,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,53.0,0.9404905367048254,2,354123416.8776342,6108436793.579363,0.3652804948681583,-0.6928357568030803,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,59.0,0.8643148365699158,6,453999595.3062132,13774850029.687622,-0.7608636842608839,-0.4574923289708943,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,61.0,0.9020357965890241,6,460535063.1775622,15640151670.513363,-0.6541032621615511,0.239176539455336,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,65.0,0.9412672034655958,6,302390477.5296046,9873100678.914352,-1.0084139562343077,-0.011494508695033545,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,51.0,0.9463670213636654,4,148663484.35036486,4659085229.173335,0.1021909908548907,-1.1654620473214459,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,83.0,0.8971395924087794,3,374525616.1025542,8393261723.643838,0.07243032750428809,-1.4566815247083706,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,52.0,0.8476865320409515,1,406977758.6667569,10115893328.46719,1.5000683454200037,1.1285184113460254,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,56.0,0.9113293176964329,4,382592839.4850988,9447026023.901165,-0.027813064886771863,-1.0742198812943475,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,66.0,0.9190666929211738,3,567249522.081887,11894903620.602493,0.2078554123822827,-1.1735439304510675,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,52.0,0.9459284935796188,8,99175215.76649919,4928697871.935326,0.8076483156948517,-0.35305180092424937,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,48.0,0.864568306998414,2,328619342.24508125,7924867026.730932,0.8782829255971341,-0.6066233910140082,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,55.0,0.8725778427645157,2,507253793.7120844,11113499776.58472,0.6376902277906746,-0.9064911644795002,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,52.0,0.8934123399851744,5,273360761.1971534,5951602304.022771,0.5008033793785944,-1.1640476317515738,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,54.0,0.9167684823779038,2,336401915.90161395,5461519333.99886,0.6380554126905358,-0.8415029478883196,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,56.0,0.8636444015584759,6,363690029.3863007,9736466199.093761,-1.14578147073708,0.3299159474774447,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,75.0,0.8298580869887772,5,440582655.45477176,10640011630.950085,-1.2397152492547294,1.2128414086296466,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,56.0,0.9311249047332749,3,290577653.2737455,4980889172.430729,0.13779487474490443,-1.3306830069067457,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,56.0,0.9260115529677323,3,300202723.63173765,7620759629.79977,0.1820145075079653,-0.7087856789671672,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,54.0,0.919501572090053,5,684289396.7348083,8879090827.577812,-0.39487690903011746,-1.3967211972946125,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,65.0,0.935651364308483,3,251149420.58919924,4752480173.916626,-0.09077935152575664,-1.7313184366357413,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,64.0,0.8452596780129901,6,1191924965.2382884,9222745399.007725,-0.9216549607108683,-0.7369582348485091,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,59.0,0.9186813831108873,4,561408547.5471025,16877701926.895147,0.7834118737402133,-0.015279667704543254,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,58.0,0.9049412927983765,5,149360690.64854813,3986641376.045191,0.8053751637462442,-0.09590455765655603,standing,ilive-2-standing-pos4-rx-1min.dat
0.0,0.0,51.0,0.8779264728503374,6,449418362.985606,16023943660.538902,-0.9465430799074348,-0.06973984741373496,standing,ilive-2-standing-pos4-rx-1min.dat
