var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
2.8038024230705803e+19,3.3117246897308377e+19,3.1439821420503336e+23,3.0415608343232614e+19,1.831491678678172e+19,3.9331121156440424e+23,2.4146162419154924e+19,2.912572923451796e+19,1.6549733196045179e+24,0.0,0.0,7.0,0.8377267596057187,1,5851353579.011028,11792953052.049625,1.4813021000082525,1.535988548610395,standing,ilive-standing-posX-rx-1min.dat
2.569887306178793e+19,3.05103275066621e+19,1.7908254595080475e+23,2.8463424554076135e+19,1.7593861831959714e+19,8.481326029224906e+22,1.360101450674769e+19,1.5905238385651988e+19,1.1852050419019624e+24,0.0,0.0,76.0,0.9020699631804128,1,5383024934.801801,10913808674.417557,1.5957759463674668,1.9336922791981017,standing,ilive-standing-posX-rx-1min.dat
2.975762196090932e+19,3.517078379399518e+19,0.0,2.0144335808152007e+19,1.2545425689297443e+19,0.0,1.1145316446746655e+19,1.4185252271441062e+19,0.0,0.0,0.0,45.0,0.0,1,6473641016.079241,13526157410.858582,1.5790899931030398,1.8721389425065924,standing,ilive-standing-posX-rx-1min.dat
2.3826769669082485e+19,4.176830203788275e+19,1.6330831221450874e+24,1.7735460985380868e+19,1.2459932994097803e+19,1.905708868246494e+24,1.1774896774813276e+19,1.1359827866881645e+19,1.7207863208267037e+24,0.0,0.0,41.0,0.985094915173841,1,5648855275.532777,11397877891.06881,1.6354201717777586,2.0561102368994533,standing,ilive-standing-posX-rx-1min.dat
1.905796953073838e+19,4.36786981033169e+19,3.792055704894764e+24,1.868923805422132e+19,1.5706327051804035e+19,6.321639088662904e+24,1.9293614505892934e+19,1.7643378484196602e+19,9.340276865523628e+24,0.0,0.0,52.0,0.9152232168268388,1,5895744046.971623,8036399164.455463,1.655660349549037,2.0525549671378345,standing,ilive-standing-posX-rx-1min.dat
1.9500402774354694e+19,3.146515412604926e+19,9.331859876112418e+23,2.052321270507583e+19,1.340364893397544e+19,9.627999066386905e+23,8.19165490070128e+18,9.018675203368644e+18,1.0220594955101497e+24,0.0,0.0,5.0,0.9474554295073441,1,5876354711.20412,12424858839.482367,1.5850791830863047,1.8112632175977312,standing,ilive-standing-posX-rx-1min.dat
1.999956727109905e+19,3.289193853229534e+19,2.0282814254777313e+24,2.1393152495436755e+19,1.1920295756361325e+19,2.0126864514240422e+24,1.5437602923860892e+19,1.275123158656522e+19,7.39985574324683e+24,0.0,0.0,-11.0,0.968607830857631,1,5118711869.626762,10322244391.712097,1.6696059877354517,2.1465596470523387,standing,ilive-standing-posX-rx-1min.dat
2.194829128306334e+19,2.7266621376672977e+19,3.574104780097546e+23,2.4447854316889797e+19,1.5083224956596038e+19,4.779971654736874e+23,1.452907901664811e+19,1.7360833487098606e+19,1.1168136105477355e+24,0.0,0.0,90.0,0.9706816083983362,1,5385990540.506301,11095535411.939026,1.6048496566098827,1.9577885394869243,standing,ilive-standing-posX-rx-1min.dat
2.3248039561216406e+19,3.999928860717604e+19,1.3553056892222777e+24,3.0641131836939035e+19,1.949914646159755e+19,1.1874208021607562e+24,1.4249127735157846e+19,1.617289202249231e+19,4.357799155933117e+23,0.0,0.0,22.0,0.9670590686036444,1,5679264083.844887,12070353439.669138,1.6489597223940369,2.076315635918313,standing,ilive-standing-posX-rx-1min.dat
2.9190538904682947e+19,4.351317326954157e+19,1.247974055852787e+24,2.3927755209834697e+19,1.5333518963687283e+19,1.454558834771392e+24,8.567540183311173e+18,8.172783750293469e+18,2.7397312087300085e+24,0.0,0.0,90.0,0.9078686152355333,1,5907493418.548133,12271308086.015099,1.5880186531681486,1.8968641606895753,standing,ilive-standing-posX-rx-1min.dat
2.4767016428649734e+19,6.421266439468539e+19,3.9134448348807964e+24,2.5996336710051877e+19,1.9026698197669917e+19,4.741953355789715e+24,1.7279862786629898e+19,1.2146170617555194e+19,8.283038070934585e+24,0.0,0.0,90.0,0.7638281418321826,1,5993021459.693492,8604169390.600527,1.7983448410818965,2.5542590405809165,standing,ilive-standing-posX-rx-1min.dat
1.5780487638559642e+19,2.011878992534214e+19,3.050316520074738e+23,3.0891569986448822e+19,1.9666027496481784e+19,7.50035946681381e+22,1.6973565848544094e+19,2.0352795095321555e+19,1.187852562588697e+24,0.0,0.0,-2.0,0.9373409784656568,1,4667967661.545041,10340274103.10722,1.6066698529619756,1.927488224114712,standing,ilive-standing-posX-rx-1min.dat
2.245959103589568e+19,4.992314078070196e+19,3.754587102468401e+24,1.9204270613239063e+19,1.4672766392515752e+19,4.862965272224077e+24,2.581738910944986e+19,2.1759888048693674e+19,4.305965319083911e+24,0.0,0.0,51.0,0.99430224545991,1,6140651235.74015,10962008826.85293,1.6759193754744364,2.187593571557411,standing,ilive-standing-posX-rx-1min.dat
2.5113077988752904e+19,5.686375800876836e+19,4.915750617314061e+24,2.6344023140955345e+19,1.712579540459681e+19,6.886333824012482e+24,1.5477384831287431e+19,1.4077018093040065e+19,8.115790854608594e+24,0.0,0.0,31.0,0.9541760128345357,1,5989962172.338718,10661192365.578869,1.714016726388858,2.2723390693968506,standing,ilive-standing-posX-rx-1min.dat
1.7898410507010275e+19,6.2246154188166906e+19,4.035593292430744e+24,2.661281135454929e+19,1.8186501389912672e+19,4.888447583883398e+24,2.7275374224527364e+19,1.7538293079045712e+19,8.223435386399481e+24,0.0,0.0,46.0,0.9714897388299245,1,5315950475.376334,8930723836.043968,1.7825882378309899,2.502699840391311,standing,ilive-standing-posX-rx-1min.dat
2.5637599054656143e+19,3.6865385941641015e+19,7.493417675870736e+23,2.5701736690526015e+19,1.749923737997422e+19,1.3475688113134342e+24,1.8040209700955167e+19,2.0553915496667242e+19,5.0735588682922803e+23,0.0,0.0,30.0,0.9718035316420587,1,6137154866.13636,12872603824.54528,1.6442335472592182,2.0768568515347186,standing,ilive-standing-posX-rx-1min.dat
1.9542487253157e+19,2.365464891946259e+19,8.01234466589732e+22,2.2268861657898263e+19,1.424743622081293e+19,2.5957420706857243e+23,1.4827289864854063e+19,1.8777437002947613e+19,1.8621610052036905e+24,0.0,0.0,-6.0,0.9669849382611423,1,4454819797.958522,9951324896.132002,1.5326160562438278,1.662668474322854,standing,ilive-standing-posX-rx-1min.dat
