var_rx0_tx0,var_rx0_tx1,var_rx0_tx2,var_rx1_tx0,var_rx1_tx1,var_rx1_tx2,var_rx2_tx0,var_rx2_tx1,var_rx2_tx2,tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
3.825352870679086e+19,3.1443031622830928e+19,0.0,2.2840646857738547e+19,1.5536613445135608e+19,0.0,2.1377874977961353e+19,2.4730836464895824e+19,0.0,0.0,0.0,43.0,0.0,1,13379432142.0259,13116903890.544853,1.6946672075006723,2.029240236445176,standing,ilive-standing-posX-tx-1min.dat
2.6553690048228745e+19,2.5653077339358425e+19,0.0,2.319760455321259e+19,1.5649369198598128e+19,0.0,1.2480322884620743e+19,1.4951683460812734e+19,0.0,0.0,0.0,47.0,0.0,1,11741729728.944153,12854683281.981882,1.724734337851799,2.18970179754724,standing,ilive-standing-posX-tx-1min.dat
3.624471582578531e+19,4.035710237638012e+19,1.3693328411229905e+24,1.7652645916566798e+19,1.147367245310105e+19,1.0305462288097815e+24,2.848591825500036e+19,3.220757735406743e+19,8.996940639343535e+23,0.0,0.0,54.0,0.8976145522014344,1,12129899361.222158,12293086514.755577,1.6983977399731094,2.037020152994322,standing,ilive-standing-posX-tx-1min.dat
1.6001765288599472e+19,1.5699424505148422e+19,0.0,1.7696495499563434e+19,1.1568005355879426e+19,0.0,1.123197760277773e+19,1.3469589008346386e+19,0.0,0.0,0.0,45.0,0.0,1,11658447994.620388,13340135092.802193,1.69997526828211,2.0684048924280454,standing,ilive-standing-posX-tx-1min.dat
2.070210602331386e+19,2.9529476568794653e+19,6.243270370198858e+23,2.399094160142204e+19,1.7023304221399255e+19,1.3696690336493346e+24,1.6293746738088659e+19,1.9292022710720717e+19,1.3955783914621015e+24,0.0,0.0,58.0,0.9852903770589251,1,7637258529.3311405,10376174148.313595,1.7114940209041085,2.268242475338165,standing,ilive-standing-posX-tx-1min.dat
2.300625909329799e+19,2.3539603249574445e+19,2.448703913501768e+23,1.9535775844838633e+19,1.406710497569064e+19,2.973779213835347e+23,1.8282565262443442e+19,2.2030168492690153e+19,1.4618015867838575e+24,0.0,0.0,40.0,0.9293554370318855,1,9999440716.746199,12366621740.0374,1.683084032879701,2.2242510933471102,standing,ilive-standing-posX-tx-1min.dat
2.2909663955545248e+19,2.4622029635496473e+19,1.9104452872316662e+24,1.9565803935364887e+19,1.3491132320995944e+19,1.3823701483612018e+24,1.8763901104886833e+19,2.2117782511200973e+19,1.6734183658615803e+24,0.0,0.0,39.0,0.9064061338853575,1,10536717064.029093,11900275888.136791,1.7119592064464044,2.1194608805185684,standing,ilive-standing-posX-tx-1min.dat
1.9648382427066823e+19,1.916209455760444e+19,0.0,1.9433436291202556e+19,1.3021019825799467e+19,0.0,8.134652144923624e+18,9.643356311597283e+18,0.0,0.0,0.0,44.0,0.0,1,11425991993.47141,12334171206.111671,1.6272029410967115,1.9405823956542978,standing,ilive-standing-posX-tx-1min.dat
2.521860466456162e+19,2.5802565937388716e+19,8.323730217688069e+23,2.115918725377678e+19,1.320577249101511e+19,2.9036648814738528e+23,1.8349278721546252e+19,2.1024139583242228e+19,1.2548301883203313e+24,0.0,0.0,4.0,0.8579331016540821,1,11647568874.219769,12509009107.734415,1.7078097885495946,2.09821535894159,standing,ilive-standing-posX-tx-1min.dat
2.207138735509977e+19,2.5382757076491915e+19,6.940756573722994e+23,2.166427812649848e+19,1.4374310076081107e+19,5.9258854931207686e+23,1.8566109545894773e+19,2.110048155563101e+19,1.6986484079549798e+24,0.0,0.0,34.0,0.9768734315082778,1,10522221559.67978,11350314372.998331,1.7447093466045556,2.2156387689674233,standing,ilive-standing-posX-tx-1min.dat
