tof_mean,tof_std,aoa_peak,corr_eigen_ratio,num_peaks,std_amp,median_amp,skew_amp,kurtosis_amp,label,source_file
0.0,0.0,52.0,0.8402408973966642,2,682335863.1087596,9658508490.551855,0.16204511711413866,-1.180006308600054,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,55.0,0.9067719981821319,3,652718194.7231636,6141156849.126348,0.13815325609942783,-1.5018041444224026,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,52.0,0.8803747840176834,3,287589071.05045915,3692629189.8217645,0.6446728687075739,-0.9299204823742655,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,59.0,0.8817754160480838,2,462686559.8872564,7370955181.5716095,0.41719782393529264,-1.1758226281999813,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,49.0,0.8548817414793782,3,284107328.4715188,6379470834.316723,0.10534290426918091,-1.2279924877469215,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,60.0,0.8320782010022735,5,190857068.49192098,8981886945.464588,-0.7771354374958108,0.12508057414543838,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,58.0,0.8445345334242524,5,233733125.2243297,11941710506.579327,1.2511405289419437,1.0159937110933885,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,53.0,0.8357551280347129,3,561752509.4349838,12626967125.742634,1.045313432327962,-0.29214541226092194,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,56.0,0.8762813694375245,2,904513100.4334509,7457695726.669275,-0.1001306312503215,-1.377009546077291,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,52.0,0.8841497796833069,4,656197030.6337222,7296520238.322517,0.08487549903145392,-1.4199443202429187,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,55.0,0.8886104086373878,4,844371468.1808907,11028518186.60239,0.2092295577079269,-1.5113349693244802,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,64.0,0.8095865981162654,4,646550354.4202111,13240942561.079975,-0.3622035602676921,-0.8003226852306886,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,51.0,0.9018893327096112,3,491208441.13212395,6451156759.292366,-0.31289112768989213,-0.9823322152079128,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,51.0,0.8451744403436521,4,685443914.9044597,11096965986.459799,-0.022823731761816173,-1.359128766349369,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,55.0,0.894994353976431,3,572230778.1931176,6905860528.028078,0.3027487650018709,-1.3963502613038152,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,54.0,0.8972143687957115,3,312275283.6418174,8708395375.001873,0.1599661280318629,-1.4763318231909155,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,56.0,0.9155015443590155,5,234099037.92121089,6973278762.573011,-0.800933423391673,0.16957365102384792,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,56.0,0.8700023098508565,6,378848164.22251314,6926771698.062618,-0.6829700290063184,-0.6608412792185221,standing,ilive-2-standing-pos3-rx-1min.dat
0.0,0.0,57.0,0.8337940298570774,4,345053649.8494852,12267996920.779884,0.2516222592427742,-1.3404320417941906,standing,ilive-2-standing-pos3-rx-1min.dat
